Empresa,Producto,Presentacion,Principio_activo,1,2,3,4,5,6,7,8,9,10,11,12
"Boehringer Ingelheim Promeco, S.A. de C.V.",SPIRIVA,Caja con 20 c†psulas con 18 mcg.,Tiotropio,702,702,702,702,702,702,702,702,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",SPIRIVA,Caja con 30 c†psulas y disp. HandiHaler  con 18 mcg.,Tiotropio,,,,,1024,1024,1024,1024,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",SPIRIVA,Caja con 30 c†psulas con 18 mcg.,Tiotropio,,,,,995,995,995,995,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",STRIVERDI RESPIMAT,Caja con cartucho con 4 ml (0.227 mg/mL.)dispositivo que proporciona 30 dosis (5 mcg/dosis),Olodaterol,,,,,,,,,,,684,729.3333333
"Boehringer Ingelheim Promeco, S.A. de C.V.",TRAYENTA,Caja con 10 tabletasde 5mg,Linagliptina,,,,,,,352,364.7272727,394.6666667,421.25,448.5,477.3333333
"Boehringer Ingelheim Promeco, S.A. de C.V.",TRAYENTA,Caja con 30 tabletas 5 mg,Linagliptina,,,,,,,1012,1036.545455,1095.333333,1148.5,1188,1216
"Boehringer Ingelheim Promeco, S.A. de C.V.",TRAYENTA DUO,Caja con 30 tabletas 2.5/500 mg,Linagliptina/Metforfia,,,,,,,,574,600.6666667,636.1666667,660,681.3333333
"Boehringer Ingelheim Promeco, S.A. de C.V.",TRAYENTA DUO,Caja con 30 tabletas 2.5/850 mg,Linagliptina/Metforfia,,,,,,,,574,600.6666667,636.1666667,660,681.3333333
"Boehringer Ingelheim Promeco, S.A. de C.V.",TRAYENTA DUO,Caja con 30 tabletas 2.5/1000 mg,Linagliptina/Metforfia,,,,,,,,574,600.6666667,636.1666667,660,681.3333333
"Boehringer Ingelheim Promeco, S.A. de C.V.",TRAYENTA DUO,Caja con 60 tabletas 2.5/500 mg,Linagliptina/Metforfia,,,,,,,,1066,1095.333333,1168.916667,1238.5,1282.666667
"Boehringer Ingelheim Promeco, S.A. de C.V.",TRAYENTA DUO,Caja con 60 tabletas 2.5/850 mg,Linagliptina/Metforfia,,,,,,,,1066,1095.333333,1168.916667,1238.5,1282.666667
"Boehringer Ingelheim Promeco, S.A. de C.V.",TRAYENTA DUO,Caja con 60 tabletas 2.5/1000 mg,Linagliptina/Metforfia,,,,,,,,1066,1095.333333,1168.916667,1238.5,1282.666667
"Boehringer Ingelheim Promeco, S.A. de C.V.",VARGATEF,Caja con 120 c·psulas con 100 mg.,Nintedanib,,,,,,,,,,,,48042
"Boehringer Ingelheim Promeco, S.A. de C.V.",VARGATEF,Caja con 60 c·psulas con 150 mg.,Nintedanib,,,,,,,,,,,,48042
"Boehringer Ingelheim Promeco, S.A. de C.V.",VIRAMUNE,Frasco con 60 tabletas de 200 mg.,Nevirapina,3548.6,3548.6,2786.325,499.5,499.5,499.5,499.5,,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",VIRAMUNE,Caja con frasco de 240 mg. y jeringa dosificadora,Nevirapina Hemihidratada de,804,804,792.9,650.8083333,573.1,573.1,573.1,,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ABILIFY,Caja con 10 tabletas de 15 mg.,Aripiprazol,,,,,,,1034.45,1034.45,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ABILIFY,Caja con 20 tabletas de 15 mg.,Aripiprazol,,,,,,,1991.6,1991.6,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ABILIFY,Caja con 10 tabletas de 30 mg.,Aripiprazol,,,,,,,1379.3,1379.3,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ABILIFY,Caja con 10 tabletas de 10 mg.,Aripiprazol,,,,,,,1034.45,1034.45,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVALIDE,Caja con 14 tabletas de 300/12.5 mg.,Irbesartan/Hidroclorotiazida,434.5,434.5,434.5,434.5,434.5,434.5,434.5,434.5,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVALIDE,Caja con 28 tabletas de 300/12.5 mg.,Irbesartan/Hidroclorotiazida,817.45,817.45,817.45,817.45,836.525,850.15,850.15,850.15,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVALIDE,Caja con 14 tabletas de 150/12.5 mg.,Irbesartan/Hidroclorotiazida,280.135,282.2,282.2,282.2,293.3625,305.15,305.15,305.15,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVALIDE,Caja con 28 tabletas de 150/12.5 mg.,Irbesartan/Hidroclorotiazida,507.675,511.4,511.4,511.4,531.6708333,553.05,553.05,553.05,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVALIDE,Caja con 28 tabletas de 300/25 mg.,Irbesartan/Hidroclorotiazida,,817.45,817.45,817.45,849.8625,884.05,884.05,884.05,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVALIDE ,Caja con 14 tabletas de 300/25 mg.,Irbesartan/Hidroclorotiazida,,434.5,434.5,434.5,444.65,451.9,451.9,451.9,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVAPRO,Caja con 14 tabletas de 300 mg.,Irbesartan,383.48,386.3,386.3,386.3,399.5625,411.65,411.65,411.65,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVAPRO,Caja con 14 tabletas de 150 mg.,Irbesartan,274.995,277,277,277,287.9958333,299.6,299.6,299.6,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVAPRO,Caja con 28 tabletas de 300 mg.,Irbesartan,735.6,741,741,741,770.3958333,801.4,801.4,801.4,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",AVAPRO,Caja con 28 tabletas de 150 mg.,Irbesartan,502.025,505.7,505.7,505.7,525.775,546.95,546.95,546.95,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ELICUIS,Caja con 20 tabletas de 2.5 mg.,Apixab†n,,,,,,,,,512.5,538.125,563.75,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ELICUIS,Caja con 60 tabletas de 2.5 mg.,Apixab†n,,,,,,,,,,1614.4,1614.4,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ELICUIS,Caja con 20 tabletas de 5 mg.,Apixab†n,,,,,,,,,512.5,538.125,563.75,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ELICUIS,Caja con 60 tabletas de 5mg.,Apixab†n,,,,,,,,,1537.5,1575.95,1614.4,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ISCOVER,Caja con 14 tabletas de 75 mg.,Clopidogrel Bisulfato de,549.1,557.2375,594.95,594.95,613.2333333,634.2,634.2,634.2,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ISCOVER,Caja con 28 tabletas de 75 mg.,Clopidogrel Bisulfato de,998.485,1013.275,1081.8,1081.8,1115.079167,1153.25,1153.25,1153.25,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",ISCOVER,Caja con 4 tabletas de 300 mg.,Clopidogrel Bisulfato de,,,,,,659,659,659,,,,
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",IXEMPRYA,Frasco ·mpula 45 mg con diluyente 23.5 ml.,Ixabepilona,,,,,17249.45,17249.45,17249.45,17625.85,18365.9,19588.15,19588.15,19588.15
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",IXEMPRYA,Frasco ·mpula 15 mg con diluyente 8 ml.,Ixabepilona,,,,,6324.8,6324.8,6324.8,6463.127273,6732.166667,7182.8,7182.8,7182.808333
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",REYATAZ,Frasco con 60 c†psulas de 150 mg.,Atazanavir Sulfato de,7382.22,7382.22,7382.22,7412.976667,8041.9775,8138.87,8138.87,8138.87,8138.87,8138.87,8138.87,8138.87
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",REYATAZ,Frasco con 60 c†psulas de 200 mg.,Atazanavir Sulfato de,7382.22,7382.22,7382.22,7412.976667,8041.9775,8138.87,8138.87,8138.87,8138.87,8138.87,8138.87,8138.87
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",REYATAZ,Frasco con 30 c†psulas de 300 mg.,Atazanavir Sulfato de,,,,7412.976667,8041.9775,8138.87,8138.87,8138.87,8138.87,8138.87,8138.87,8138.855833
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",SPRYCEL  ,Caja con frasco con 60 tabletas de 70 mg.,Desatinib,,,53586,53586,53586,56042.025,58844.1125,60367.60455,62879.36667,67088.25,67088.25,69953.5
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",SPRYCEL   ,Caja con frasco con 60 tabletas de 50 mg.,Desatinib,,,47784,48501,49218,51473.825,54047.52083,55446.95909,57754.03333,61619.85,61619.85,64251.4625
"Bristol-Myers Squibb de MÇxico, S. de R.L. de C.V.",YERVOY,Frasco †mpula de 10 ml (50mg/ 10ml),Ipilimumab,,,,,,,,76844.25,76844.25,76844.25,76844.25,76844.25
"Bristol-Myers Squibb de MÈxico, S. de R.L. de C.V.",DAKLINZA,Caja con 28 tabletas de 60 mg en envase de burbuja e instructivo.,Daclatasvir,,,,,,,,,,,,111982.8
"Bristol-Myers Squibb de MÈxico, S. de R.L. de C.V.",OPDIVO,SoluciÛn inyectable frasco ·mpula com 100 mg/10 ml,Nivolumab,,,,,,,,,,,,30943.14
"Bristol-Myers Squibb de MÈxico, S. de R.L. de C.V.",OPDIVO,SoluciÛn inyectable frasco ·mpula com 40 mg/4 ml,Nivolumab,,,,,,,,,,,,12377.26
"Bristol-Myers Squibb de MÈxico, S. de R.L. de C.V.",SUNVEPRA,Caja con 56 c·psulas de galtina blanda con 100 mg,Asunaprevir,,,,,,,,,,,,8604
"Eisai Laboratorios, S. de R.L. de C.V.",HALAVEN,Caja con frasco ampula con 1mg/2ml,Mesilato de Eribulina,,,,,,,,,,,5670,6584.208333
"Eisai Laboratorios, S. de R.L. de C.V.",LENVIMA,10 mg- Caja con 30 c·psulas en 6 carteras con 5 c·psulas de 10 mg.,Lenvatinib,,,,,,,,,,,,57085.71429
"Eisai Laboratorios, S. de R.L. de C.V.",LENVIMA,14 mg - Caja con 60 c·psulas en 6 carteras con 5 c·psulas de 4 mg y 5 c·psulas de 10 mg.,Lenvatinib,,,,,,,,,,,,57085.71429
"Eisai Laboratorios, S. de R.L. de C.V.",LENVIMA,20 mg - Caja con 60 c·psulas en 6 carteras con 10 c·psulas de 10 mg.,Lenvatinib,,,,,,,,,,,,95142.85714
"Eisai Laboratorios, S. de R.L. de C.V.",LENVIMA,24 mg. Caja con 90 c·psulas en 6 carteras con 5 c·psulas de 4 mg y 10 c·psulas de 10 mg.,Lenvatinib,,,,,,,,,,,,95142.85714
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ADCIRCA,Caja con 56 tabletas de 20 mg,Tadalafil,,,,,,,,15106,15106,15106,15106,15106
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ALIMTA,Caja con frasco sol. Iny. 500 mg,Pemetrexed,17876.49222,17876.5,17876.5,17876.5,17876.5,17876.5,17876.5,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",CIALIS,Caja con 8 tabletas de 20 mg,Tadalafil,1489,1489,1528.706667,1577.12,1635.391667,1714.0125,1881.625,2036.509091,2244.9,2337.82,2472.2,2642.7
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",CIALIS,Caja con 4 tabletas de 20 mg,Tadalafil,767.45,767.45,787.9166667,835.8416667,906.4833333,949.675,1014.4,1063.090909,1160.316667,1225.26,1340.4,1451.483333
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",CIALIS,Caja con 1 tabeta de 20 mg.,Tadalafil,201.9833333,202,204.2466667,216.1691667,236.45,247.7125,263.325,283.7681818,313.8416667,336.055,374.275,415.0333333
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",CIALIS OAD,Caja con 28 tabletas de 5 mg,Tadalafil,,,,,,1963.6,1963.6,1985.018182,2044.808333,2142.075,2263.9125,2427.366667
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",CIALIS OAD,Caja con 14 tabletas de 5 mg,Tadalafil,,,,,,,,996.55,1027.516667,1115.24,1217.8375,1341.466667
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",COMPETACT,Caja con 14 tabletas de 15 mg / 850 mg,Pioglitazona/Metformina,,,,,523,523,523,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",EFFIENT,Caja con 14 tabletas de 10 mg,Prasugrel,,,,,,540.55,540.55,555.9136364,615.675,652.365,702.0875,716.4583333
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",EFFIENT,Caja con 14 tabletas de 5 mg,Prasugrel,,,,,,540.55,540.55,555.9136364,615.675,652.365,702.0875,716.4583333
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",EVISTA,Caja con 28 tabletas de 60 mg,Raloxifeno Clorhi.,736.2916667,825.1625,890.9666667,944.85,994.0366667,1029.805,1087.883333,1161.445455,1223.9,1245.935,1344.8625,1455.233333
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",GEMZAR,Caja con 1 vial de 1 g.,Gemcitabina,4014.525,4175.641667,4486.625,4534.8125,4651.554167,4821.55,,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",GEMZAR,Caja con 1 vial de 200 mg.,Gemcitabina,825.3416667,858.4833333,922.4333333,932.3375,956.3291667,991.3,,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",HUMALOG,Caja con 2 cartuchos de 3 ml,Insulina Lispro,339.5,345.45,359.325,360.2,373.775,397.1,,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",HUMALOG,Caja con frasco †mpula 100 U.I. de 10 ml,Insulina Lispro,478.7,487.0708333,507.8791667,536.9466667,568.1108333,605.45,,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",HUMALOG MIX 25,Caja con 2 cartuchos de 3.0  ml.,Insulina Lispro,376.9341667,392.0375,407.7375,386.475,362.3166667,354,,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",HUMALOG MIX 25,Frasco vial 10 ml ,Insulina Lispro,533.2,542.9625,565.1958333,598.0333333,632.7083333,674.25,,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",SYMBYAX,Caja con 14 c†psulas de 6 mg/25 mg,Olanzapina/Fluorexetina,838.8875,869.6541667,906.7125,943.95,993.0666667,1033.8625,1072.15,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",SYMBYAX,Caja con 14 c†psulas de 12 mg/50 mg,Olanzapina/Fluorexetina,1531.408333,1573.566667,1639.341667,1706.6,1795.45,1869.275,1938.5,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",SYMBYAX,Caja con 14 c†psulas de 12 mg/25 mg,Olanzapina/Fluorexetina,1469.15,1509.575,1572.6875,1637.2125,1722.479167,1793.3375,1859.75,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",SYMBYAX,Caja con 14 c†psulas de 6 mg/50 mg,Olanzapina/Fluorexetina,901.1458333,934.1958333,974.0083333,1013.9375,1066.741667,1110.6125,1151.75,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZACTOS,Caja con 7 tabletas de 30 mg,Pioglitazona,481.0666667,499.175,506.775,523,529.9666667,536.1125,544.1,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZACTOS,Caja con 7 tabletas de 45 mg,Pioglitazona,521.6,530.7291667,538.8125,556,570.8666667,581.1875,589.85,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZACTOS,Caja con 7 tabletas 15 mg.,Pioglitazona,279.6333333,285,285,262.35,263.3,268.75,272.35,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZYPREXA,Caja con 7 tabletas de 10 mg,Olanzapina,621.5116667,670.2,723.1416667,745.4,762.2208333,796.725,814.5,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZYPREXA,Caja con 14 tabletas de 10 mg,Olanzapina,1209.278333,1284.645833,1346.045833,1386.3,1414.033333,1438.6125,1470.75,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZYPREXA,Caja con 14 tabletas de 5 mg,Olanzapina,660.5616667,720.6916667,762.4625,785.9,803.6583333,840.05,858.8,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZYPREXA,Caja con fco amp sol iny vial de 10 mg,Olanzapina,143,143.95,149.075,153.2,157.6958333,165.325,169,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZYPREXA ZYDIS,Caja con 14 tabletas de 5 mg,Olanzapina,,733.65,766.3708333,786.3,809.3125,814.2233333,758.07,,,,,
"Eli Lilly y Compa§°a de MÇxico, S.A. de C.V.",ZYPREXA ZYDIS,Caja con 14 tabletas de 10 mg,Olanzapina,,1306.75,1352.9625,1387.25,1427.854167,1425.323333,1303.97,,,,,
"Eli Lilly y CompaÒÌa de MÈxico, S.A. de C.V.",EVISTA,Caja con 14 tabletas de 60 mg,Clorohidrato de Raloxifeno,,,,,,,,,,,694.9,748.6166667
"Eli Lilly y CompaÒÌa de MÈxico, S.A. de C.V.",TRULICITY,Caja de carton con 2 plumas 0.75 mg / 0.5 ml,Dulaglutida,,,,,,,,,,,5839.5,2929.775
"Eli Lilly y CompaÒÌa de MÈxico, S.A. de C.V.",TRULICITY,Caja de carton con 2 plumas 1.5 mg / 0.5 ml,Dulaglutida,,,,,,,,,,,5492,3047.608333
"Emifarma, S.A. de C.V.",TRACLEER,Caja con 60 tabletas de 62.5 mg,Bosentan,,,,49300,49300,60833.33333,66600,66600,66600,66600,66600,66600
"Emifarma, S.A. de C.V.",TRACLEER,Caja con 60 tabletas de 125 mg,Bosentan,,,,63800,63800,82066.66667,91200,91200,91200,91200,91200,91200
"Espec°ficos Stendhal, S.A. de C.V.",ATRIPLA,Caja con 30 tabletas de 300 mg/ 600mg/200 mg.,Tenoforir/Efavirenz/Emtricitabina,,,,,,,,,,16189.62,16189.62,16189.62
"Espec°ficos Stendhal, S.A. de C.V.",EMTRIVA,Caja de cart¢n con  30 c†psulas e instructivo.,Emtricitabina,3240,3240,3240,3240,3406,3904,3904,3904,3904,3904,,
"Espec°ficos Stendhal, S.A. de C.V.",TRUVADA,Caja con 30 tabletas de 300 mg/ 200 mg.,Tenofovir-Disoproxil fumarato de/Emtricitabina,,,8640,8640,9082.5,10410,10410,10410,10410,10415.90833,10480.9,10480.9
"Espec°ficos Stendhal, S.A. de C.V.",TYSABRI,Caja con 1 frasco †mpula con 15ml (20mg/ml),Natalizumab,,,,,,,,,,54684,54684,54684
"Espec°ficos Stendhal, S.A. de C.V.",VIREAD,Caja con 30 tabletas de 245mg ,Tenofovir Disoproxil Fumarato,5400,5400,5400,5400,5676.5,6506,6506,6506,6506,6541.468333,6931.62,6931.62
"EspecÌficos Stendhal, S.A. de C.V.",ARAHKOR,Caja con frasco de 20 tableras de 60 mg,Fimasart·n,,,,,,,,,,,512.6,512.6
"EspecÌficos Stendhal, S.A. de C.V.",FAMPYRA,Caja de cartÛn con 56 tabletas con cuatro frascos con 14 tabletas cada uno,Aminopiridina,,,,,,,,,,,17242.56,17242.56
"GlaxoSmithKline Mexico, S.A. de C.V.",3TC,Caja de cart¢n con  60 c†psulas de 150Mg e instructivo.,Lamivudina,2780,2780,2780,2965.333333,2849.5,2780,2863.4,2989.609091,3021.3,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",3TC,Caja con frasco c/240 ml. (1 gr./100 ml.) soluci¢n,Lamivudina,960,960,960,1024,984,960,988.8,1032.385455,1043.33,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",ALTARGO,"Tubo con 5 grs, ungÅento al 1%",Retapamulina,,,,,,235,241.2666667,244.4,244.4,246.845,249.29,249.29
"GlaxoSmithKline Mexico, S.A. de C.V.",ALTARGO,"Tubo con 15 grs, ungÅento al 1%",Retapamulina,,,,,,,,,,299.02,299.02,366.3025
"GlaxoSmithKline Mexico, S.A. de C.V.",ANORO,Caja con un dispositivoinhalador con dos blisters con 30 dosis 74.2/40 mcg.,Bromuro de umeclidium / Trifenatato de vilanterol,,,,,,,,,,,,859.5
"GlaxoSmithKline Mexico, S.A. de C.V.",AVAMYS,Frasco con 120 d¢sis aquaspray de 27.5 mcg,Fluroato de Fluticasona,,,,,,215,228.3333333,287.64,335.04,335.04,360.165,368.54
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDAMET,Caja con 14 tabletas de 4 mg./500 mg.,Rosiglitazona/Metformina clorhidrato de,504,504,538.02,581.6866667,567.9375,565.2,565.2,589.8618182,599.11,599.11,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDAMET,Caja con 14 tabletas de 2 mg./500 mg.,Rosiglitazona/Metformina clorhidrato de,264,264,272.6391667,281.7833333,309,313,313,326.6581818,345.05,345.05,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDAMET,Caja con 14 tabletas de 4 mg./1000 mg.,Rosiglitazona/Metformina clorhidrato de,,,,511.27,517.3975,526.2,526.2,549.16,557.77,557.77,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDAMET,Caja con 14 tabletas de 2 mg./1000 mg.,Rosiglitazona/Metformina clorhidrato de,,,,258.86,264.09,269.3,269.3,281.0527273,311.15,311.15,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDARYL,Caja con 14 tabletas de 4 mg/2 mg.,Rosiglitazona,,,,651.2,606.8,607.8,615.7,642.5654545,652.64,652.64,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDARYL,Caja con 14 tabletas de 4 mg/4 mg.,Rosiglitazona,,,,651.2,606.8,607.8,615.7,642.5654545,652.64,652.64,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDARYL,Caja con 7 tabletas de 4 mg/2 mg.,Rosiglitazona,,,,331.1,308.525,301,,,,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDARYL,Caja con 7 tabletas de 4 mg/4 mg.,Rosiglitazona,,,,331.1,308.525,301,,,,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDIA,Caja con 14 grageas 8 mg.,Rosiglitazona,931,931,1031.89,1132.066667,1107.085,1101.8,1101.8,1149.88,1167.91,1167.91,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDIA,Caja con 14 grageas 4 mg.,Rosiglitazona,520,520,578.245,625.1066667,615.5575,426.5666667,332,565.1927273,652.64,652.64,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDIA,Caja con 7 grageas de 8 mg.,Rosiglitazona,477,477,530.7975,581.4766667,567.9375,565.2,,,,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVANDIA,Caja con 7 grageas de 4 mg.,Rosiglitazona,264,264,293.9025,314.2366667,311.605,313,,,,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVODART,Caja con  30 grageas de 0.5 mg.,Dutasterida,880.9,880.9,936.475,1051.08,1056.78,921.4666667,850,900.4290909,946.92,965.86,,
"GlaxoSmithKline Mexico, S.A. de C.V.",AVODART,Caja con  90 grageas de 0.5 mg.,Dutasterida,,,,,,,,,,1890,,
"GlaxoSmithKline Mexico, S.A. de C.V.",BENLYSTIA IV,Caja con frasco ·mpula con polvo liofilizado 120 mg*1,Belimumab,,,,,,,,,,,2325,2325
"GlaxoSmithKline Mexico, S.A. de C.V.",BENLYSTIA IV,Caja con frasco ·mpula con polvo liofilizado 400 mg x 1,Belimumab,,,,,,,,,,,7750,7750
"GlaxoSmithKline Mexico, S.A. de C.V.",COMBIVIR,Caja con 60 tabletas de 150 mg./300 mg.,Lamivudina/Zidovudina,4050.5,4050.5,4050.5,4320.533333,4151.7625,4050.5,4172.013333,4355.904545,4402.08,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",COMBODART,Caja con frasco con 30 tabletas de 0.5mg./0.4mg.,Dutasterida/Tamsolusina,,,600,,,,,,946.92,946.92,,
"GlaxoSmithKline Mexico, S.A. de C.V.",FRAXIPARINE,Caja con 2 jeringas prellenadas de 0.4 ml,Nadroparina c†lcica,,,494.4444444,450,271.98,187.62,145.5233333,128.6281818,113.7533333,106.71,,
"GlaxoSmithKline Mexico, S.A. de C.V.",FRAXIPARINE,Caja con 2 jeringas prellenadas de 0.3 ml,Nadroparina c†lcica,,,375,350,235.635,184.5666667,149.6566667,120.2254545,96.54333333,87.75,,
"GlaxoSmithKline Mexico, S.A. de C.V.",FRAXIPARINE,Caja con 2 jeringas prellenadas de 0.6 ml,Nadroparina c†lcica,,,712,648,485.985,431.98,305.9666667,207.9127273,168.15,154.84,,
"GlaxoSmithKline Mexico, S.A. de C.V.",KIVEXA,Caja con  30 tabletas de 600 mg./300 mg.,Abacavir/Lamivudina,,6200,6148.333333,5580,6045,6200,6386,6667.48,6917.846667,7007.69,7217.915,7762.1625
"GlaxoSmithKline Mexico, S.A. de C.V.",NIMBEX,Caja con 1 ampolleta de 5.0 ml. con 10 mg.,Cisatracurio Besilato de,287.3,287.3,283.7091667,244.21,182.4175,161.82,,,,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",NIMBEX,Caja con 1 ampolleta de 2.5 ml. con 5 mg.,Cisatracurio Besilato de,185.4,185.4,183.0825,157.59,157.59,157.59,,,,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",NIMBEX,Caja con 1 ampolleta de 10.0 ml con 20 mg.,Cisatracurio Besilato de,513.1,513.1,505.0083333,416.3333333,416.5,416.5,,,,,,
"GlaxoSmithKline Mexico, S.A. de C.V.",RAPIVIR,Caja con  10 tabletas de 500 mg.,Valaciclovir,,2065,999.5454545,,,694.5,694.5,714.7036364,722.28,758.395,794.51,794.51
"GlaxoSmithKline Mexico, S.A. de C.V.",RAPIVIR,Caja con  42 tabletas de 500 mg.,Valaciclovir,,,2250.85,,,2462,2511.266667,2609.674545,2637.34,2690.085,2742.83,2742.83
"GlaxoSmithKline Mexico, S.A. de C.V.",RELENZA,Caja con 5 discos de 4 d¢sis C/U Polvo y Disp Inhal.,Zanamivir,,,440,469.3333333,451,440,262.6666667,367.4545455,440,440,,
"GlaxoSmithKline Mexico, S.A. de C.V.",RELVARE,Caja con dispositivo inhalador con 30 d¢sis con 100mcg/25 mcg,Vilanterol,,,,,,,,,,887,887,887
"GlaxoSmithKline Mexico, S.A. de C.V.",RELVARE,Caja con dispositivo inhalador con 30 dosis con 200/25 mcg,Vilanterol/Fluroato de Fluticasona,,,,,,,,,,,887,887
"GlaxoSmithKline Mexico, S.A. de C.V.",REVOLADE,Caja con 28 tabletas de 25 mg,Eltrombopag,,,,,,,11635.83,11635.83,11635.83,11635.83,11635.83,11635.83
"GlaxoSmithKline Mexico, S.A. de C.V.",REVOLADE,Caja con 28 tabletas de 50 mg,Eltrombopag,,,,,,,23271.65,23271.65,23271.65,23271.65,23271.65,23271.65
"GlaxoSmithKline Mexico, S.A. de C.V.",SELZENTRY,Caja con 60 tabletas de 150 mg,Maraviroc,,,,,12612.11,12612.11,12612.11,12612.11,,14059.72,14481.5125,15573.455
